salary_in_usd,experience_level,employee_residence,employment_type
79833,MI,DE,FT
260000,SE,JP,FT
109024,SE,GB,FT
20000,MI,HN,FT
150000,SE,US,FT
72000,EN,US,FT
190000,SE,US,FT
35735,MI,HU,FT
135000,MI,US,FT
125000,SE,NZ,FT
51321,EN,FR,FT
40481,MI,IN,FT
39916,EN,FR,FT
87000,MI,US,FT
85000,MI,US,FT
8000,MI,PK,FT
41689,EN,JP,FT
114047,SE,PL,FT
5707,EN,IN,FT
56000,MI,PT,FT
43331,MI,CN,FT
6072,MI,IN,FT
47899,SE,GR,FT
98000,MI,US,FT
115000,MI,AE,FT
325000,EX,US,FT
42000,EN,NL,FT
33511,SE,MX,FT
100000,EN,US,CT
117104,SE,CA,FT
59303,MI,DE,FT
70000,EN,US,FT
68428,SE,GR,FT
450000,MI,US,FT
46759,MI,FR,FT
74130,MI,AT,FT
103000,MI,US,FT
250000,EN,US,FT
10000,EN,NG,FT
138000,EN,US,FT
45760,MI,PH,FT
79833,EX,ES,FT
50180,MI,PT,FT
106000,MI,US,FT
112872,MI,GB,FT
15966,EN,DE,PT
76958,MI,GB,FT
188000,SE,US,FT
105000,MI,US,FT
70139,MI,FR,FT
6072,EN,IN,FT
91000,EN,US,FT
45896,EN,DK,FT
54742,EN,PK,FT
60000,SE,RU,FL
148261,SE,DE,FT
38776,MI,ES,FT
118000,MI,US,FT
120000,SE,US,FT
138350,MI,US,FT
110000,MI,US,FT
130800,MI,ES,FT
21669,EN,IT,PT
412000,SE,US,FT
45618,SE,HR,FT
62726,EN,DE,FT
49268,EN,DE,FT
190200,SE,US,FT
105000,EN,US,FT
91237,SE,AT,FT
62726,MI,FR,FT
42197,MI,FR,FT
82528,EN,GB,FT
150000,EX,IN,FT
235000,EX,US,FT
53192,SE,FR,FT
100000,MI,US,FT
5409,MI,IN,PT
270000,MI,US,CT
80000,EN,US,FT
79197,SE,DE,FT
140000,MI,US,FT
54238,MI,GB,FT
47282,MI,ES,FT
153667,EX,IT,FT
28476,MI,PL,FT
59102,EN,FR,FT
170000,SE,US,FT
80000,SE,BG,FT
88654,SE,GR,FT
76833,EN,DE,FT
19609,MI,IN,FT
276000,SE,US,FT
29751,EN,IN,FT
89294,MI,SG,FT
12000,EN,BR,PT
95746,MI,DE,FT
75000,MI,US,FT
36259,MI,HU,FT
62000,MI,US,FT
73000,MI,US,FT
51519,MI,GB,FT
187442,MI,CA,FT
115000,SE,US,FT
30428,EN,IN,FT
94564,SE,DE,FT
113476,SE,GB,FT
103160,SE,GB,FT
12000,EN,PK,PT
45391,MI,NL,FT
225000,EN,US,FT
50000,MI,NG,FT
40189,MI,GR,FT
90000,EN,US,FT
200000,MI,US,FT
60000,MI,ES,FT
200000,SE,US,FT
50000,EN,US,FT
110037,EN,GB,FT
10354,EN,ES,PT
151000,MI,US,FT
9466,MI,IN,FT
20000,EN,IN,FT
40570,SE,IN,FT
100000,EN,IQ,FT
49646,EN,FR,FT
38400,MI,VN,FT
24000,SE,BR,FT
100000,EN,US,FT
90000,MI,US,FT
63711,MI,JP,FT
77364,MI,JP,FT
220000,SE,US,FT
240000,SE,US,FT
82500,MI,US,FT
82744,SE,BE,FT
62649,MI,FR,FT
153000,SE,US,FT
160000,SE,BR,FT
168000,SE,JP,FT
150000,MI,US,FT
75774,MI,CA,FT
13400,EN,UA,FT
144000,SE,US,FT
127221,SE,CA,FT
119059,MI,SG,FT
423000,MI,US,FT
125000,EN,US,FT
230000,EX,RU,FT
85000,EX,RU,FT
28369,MI,MT,FT
63831,EN,DE,FT
130026,EX,DE,FT
165000,SE,US,FT
250000,EX,US,FT
55000,EN,US,FT
170000,MI,US,FT
82528,MI,GB,FT
60000,EN,US,FT
235000,SE,US,FT
60757,SE,PT,FT
174000,SE,US,FT
2859,MI,MX,FT
40038,MI,CL,FT
81000,EN,US,FT
5679,MI,IN,FT
22611,MI,IN,FT
90734,MI,DE,FT
26005,MI,RO,FT
61896,SE,GB,FT
12000,MI,PK,FL
4000,MI,IR,FT
50000,SE,VN,FT
69741,EX,FR,FT
76833,SE,RO,FT
74000,MI,JP,FT
152000,SE,US,FT
21844,EN,CO,FT
18000,MI,MD,FT
96113,SE,CA,FT
147000,MI,US,FT
9272,EN,KE,FT
24342,SE,IN,FT
54094,SE,IN,FT
61467,MI,DE,FT
195000,SE,US,FT
37825,MI,ES,FT
50000,SE,FR,FT
160000,MI,US,FT
12901,MI,BR,FT
20000,MI,IT,FL
24823,MI,SI,FT
56738,MI,FR,FT
66022,MI,HK,FT
5882,EN,IN,FT
24823,EN,DE,FT
185000,SE,US,FT
28609,EN,DK,PT
88654,MI,BE,FT
140000,SE,US,FT
46597,MI,PL,FT
116914,MI,GB,FT
33808,MI,IN,FT
56256,MI,GB,FT
225000,SE,US,FT
416000,EX,US,CT
87738,SE,CA,FT
88654,MI,DE,FT
135000,SE,US,FT
71786,SE,CA,FT
16228,EN,IN,FT
256000,SE,US,FT
180000,MI,US,FT
63810,MI,CA,FT
46809,MI,ES,FT
4000,EN,VN,FT
21637,EN,IN,FT
103691,SE,CA,FT
80000,MI,US,FT
18053,EN,IN,FT
72212,MI,GB,FT
36643,EN,FR,FT
12103,MI,TR,FT
96282,SE,GB,FT
115000,MI,US,FT
600000,EX,US,FT
28399,EN,IN,FT
93000,MI,US,FT
99703,SE,CA,FT
173762,SE,DE,FT
141846,EX,DE,FT
130000,MI,US,FT
63831,SE,DE,FT
16904,MI,IN,FT
66265,SE,IN,FT
25532,MI,RS,FT
160000,SE,PR,FT
93150,MI,US,FT
111775,MI,US,FT
28016,MI,TR,FT
65013,EN,DE,FT
72500,EN,US,FT
18907,SE,BR,FT
85000,EN,NL,FT
77684,SE,FR,FT
58000,EN,US,FT
55000,SE,ES,FT
20171,SE,TR,FT
59102,EN,LU,FT
112000,MI,US,FT
100000,EN,JE,FT
69741,MI,NL,PT
105000,SE,US,CT
69999,MI,CZ,FT
94665,SE,IN,FT
102839,SE,SI,FT
109000,MI,US,FT
51064,MI,IT,FT
155000,SE,US,FT
120600,SE,US,FT
102100,SE,US,FT
84900,SE,US,FT
136620,SE,US,FT
99360,SE,US,FT
117789,SE,GB,FT
104702,SE,GB,FT
146000,SE,US,FT
123000,SE,US,FT
52351,EN,GB,FT
99000,SE,US,FT
116000,SE,US,FT
106260,MI,US,FT
126500,MI,US,FT
242000,EX,US,FT
200000,EX,US,FT
65438,MI,GB,FT
39263,MI,GB,FT
78526,MI,GB,FT
52351,MI,GB,FT
165220,SE,US,FT
45807,EN,GB,FT
120160,SE,US,FT
90320,SE,US,FT
181940,SE,US,FT
132320,SE,US,FT
220110,SE,US,FT
160080,SE,US,FT
180000,SE,US,FT
124190,SE,US,FT
130000,EX,US,FT
110000,EX,US,FT
115500,MI,US,FT
112900,SE,US,FT
165400,SE,US,FT
167000,MI,US,FT
243900,SE,US,FT
136600,SE,US,FT
109280,SE,US,FT
128875,SE,US,FT
93700,SE,US,FT
224000,EX,US,FT
167875,EX,US,FT
175000,EX,US,FT
156600,SE,US,FT
108800,SE,US,FT
95550,SE,US,FT
113000,SE,US,FT
161342,SE,US,FT
137141,SE,US,FT
167000,SE,US,FT
78526,SE,GB,FT
65438,SE,GB,FT
211500,SE,US,FT
192400,SE,CA,FT
90700,SE,CA,FT
130000,SE,CA,FT
61300,SE,CA,FT
160000,SE,US,FT
138600,SE,US,FT
136000,SE,US,FT
58000,MI,US,FT
135000,EX,US,FT
189650,SE,US,FT
164996,SE,US,FT
54957,MI,GR,FT
118187,EX,CA,FT
132000,SE,US,FT
208775,SE,US,FT
147800,SE,US,FT
136994,SE,US,FT
101570,SE,US,FT
79039,EX,IN,FT
37300,EN,GB,FT
164000,SE,US,FT
124333,MI,GB,FT
98158,MI,GB,FT
120000,MI,US,FT
145000,SE,US,FT
105400,SE,US,FT
87932,MI,FR,FT
117789,MI,GB,FT
215300,SE,US,FT
158200,SE,US,FT
209100,SE,US,FT
154600,SE,US,FT
115934,SE,US,FT
81666,SE,US,FT
175000,SE,US,FT
183600,SE,US,FT
71982,MI,GB,FT
45807,MI,GB,FT
65949,MI,GR,FT
49461,MI,GR,FT
58894,MI,GB,FT
260000,SE,US,FT
60000,SE,AR,FT
63900,MI,US,FT
112300,MI,US,FT
241000,MI,US,FT
159000,MI,US,FT
80000,SE,US,FT
82900,MI,US,FT
100800,SE,US,FT
49461,MI,ES,FT
140400,SE,US,FT
43966,MI,ES,FT
32974,MI,ES,FT
87932,MI,ES,FT
76940,MI,ES,FT
104702,MI,GB,FT
91614,MI,GB,FT
65949,MI,ES,FT
87932,MI,GR,FT
43966,MI,GR,FT
32974,MI,GR,FT
76940,MI,GR,FT
21983,EN,PT,FT
78791,MI,CA,FT
196979,EX,CA,FT
37236,MI,US,FT
105000,SE,US,FT
87932,SE,DE,FT
18442,MI,IN,FT
31615,MI,IN,FT
58255,MI,PT,FT
54957,MI,DE,PT
18442,EN,IN,FT
162674,SE,DE,FT
120000,EN,US,FT
104890,SE,US,FT
100000,SE,US,FT
50000,MI,US,FT
183228,MI,GB,FT
185100,SE,US,FT
120000,SE,AE,FT
65000,SE,AE,FT
324000,EX,US,FT
216000,EX,US,FT
210000,SE,US,FT
230000,SE,US,FT
100000,EN,DZ,PT
100000,MI,CA,FL
31875,EN,TN,CT
200000,SE,MY,FT
75000,MI,CA,FT
35590,MI,PL,FT
78791,SE,CA,FT
100000,SE,BR,FT
153000,MI,US,FT
58035,EN,PK,FT
93427,SE,FR,FT
52396,EN,CA,FT
62651,SE,NL,FT
32974,MI,EE,FT
40000,EN,JP,FT
87425,MI,AU,FT
86703,EN,AU,FT
75000,MI,BO,FT
64849,MI,AT,FT
157000,MI,US,FT
150000,EN,AU,FT
70912,MI,CA,FT
65000,EN,US,FT
71444,SE,IE,FT
20000,EN,PK,FT
48000,MI,RU,FT
152500,SE,US,FT
68147,MI,FR,FT
122346,MI,CH,FT
380000,SE,US,FT
69336,MI,CA,FT
10000,EN,PT,FT
20000,MI,GR,FT
405000,SE,US,FT
177000,SE,US,FT
78000,MI,US,FT
85000,MI,CA,FT
214000,SE,US,FT
192600,SE,US,FT
266400,SE,US,FT
213120,SE,US,FT
141300,MI,US,FT
102100,MI,US,FT
206699,MI,US,FT
99100,MI,US,FT
130000,SE,US,FT
110500,SE,US,FT
99050,SE,US,FT
205300,SE,US,FT
176000,SE,US,FT
200100,SE,US,FT
70500,SE,US,FT
184700,SE,US,FT
175100,SE,US,FT
140250,SE,US,FT
116150,SE,US,FT
54000,SE,US,FT
69000,SE,US,FT
150075,SE,US,FT
25000,SE,US,FT
126500,SE,US,FT
106260,SE,US,FT
110925,SE,US,FT
60000,SE,US,FT
192564,SE,US,FT
144854,SE,US,FT
150260,SE,US,FT
67000,EN,CA,FT
52000,EN,CA,FT
154000,SE,US,FT
126000,SE,US,FT
129000,SE,US,FT
200000,MI,IN,FT
